ASSOC  Miss-Ratio Writes  Reads
1      0.075447   80773  367732
2      0.066185   73898  322589
4      0.065610   71944  319788
8      0.065308   71660  318313
16     0.065445   61618  318982
32     0.065598   61586  319730
64     0.065687   71625  320164
